CHAMP1,CHAMP2,CHAMP1_POSITION,CHAMP2_POSITION,VICTORY,DEFEAT,TOTALPLAYED,PERCENTVICTORY,PERCENTDEFEAT,YEAR,SEASON,TEAM
Nidalee,Janna,AD_CARRY,SUPPORT,3,3,6,0.5,0.5,2015,Spring,Red
Kalista,Janna,AD_CARRY,SUPPORT,7,1,8,0.875,0.125,2015,Spring,Red
Maokai,RekSai,TOP_LANER,JUNGLER,22,8,30,0.7333333333333333,0.26666666666666666,2015,Spring,Blue
RekSai,Kassadin,JUNGLER,MID_LANER,7,3,10,0.7,0.3,2015,Spring,Blue
Draven,Thresh,AD_CARRY,SUPPORT,0,1,1,0.0,1.0,2015,Spring,Blue
Graves,Leona,AD_CARRY,SUPPORT,5,3,8,0.625,0.375,2015,Spring,Red
JarvanIV,Braum,JUNGLER,SUPPORT,0,4,4,0.0,1.0,2015,Spring,Blue
Graves,Braum,AD_CARRY,SUPPORT,1,2,3,0.3333333333333333,0.6666666666666666,2015,Spring,Blue
Lissandra,Vi,TOP_LANER,JUNGLER,1,3,4,0.25,0.75,2015,Spring,Red
RekSai,Leona,JUNGLER,SUPPORT,8,4,12,0.6666666666666666,0.3333333333333333,2015,Spring,Blue
Graves,Leona,AD_CARRY,SUPPORT,6,6,12,0.5,0.5,2015,Spring,Blue
Maokai,Vi,TOP_LANER,JUNGLER,9,4,13,0.6923076923076923,0.3076923076923077,2015,Spring,Red
Vi,Kassadin,JUNGLER,MID_LANER,0,2,2,0.0,1.0,2015,Spring,Red
Jinx,Morgana,AD_CARRY,SUPPORT,5,2,7,0.7142857142857143,0.2857142857142857,2015,Spring,Blue
Graves,Thresh,AD_CARRY,SUPPORT,5,10,15,0.3333333333333333,0.6666666666666666,2015,Spring,Red
Gnar,Vi,TOP_LANER,JUNGLER,0,1,1,0.0,1.0,2015,Spring,Blue
Sivir,Annie,AD_CARRY,SUPPORT,12,4,16,0.75,0.25,2015,Spring,Red
Graves,Thresh,AD_CARRY,SUPPORT,13,6,19,0.6842105263157895,0.3157894736842105,2015,Spring,Blue
Swain,JarvanIV,TOP_LANER,JUNGLER,0,1,1,0.0,1.0,2015,Spring,Red
Renekton,LeeSin,TOP_LANER,JUNGLER,1,1,2,0.5,0.5,2015,Spring,Blue
LeeSin,Kassadin,JUNGLER,MID_LANER,5,3,8,0.625,0.375,2015,Spring,Blue
LeeSin,Annie,JUNGLER,SUPPORT,5,4,9,0.5555555555555556,0.4444444444444444,2015,Spring,Blue
Corki,Annie,AD_CARRY,SUPPORT,7,5,12,0.5833333333333334,0.4166666666666667,2015,Spring,Blue
Vi,Orianna,JUNGLER,MID_LANER,1,1,2,0.5,0.5,2015,Spring,Red
Fizz,RekSai,TOP_LANER,JUNGLER,1,2,3,0.3333333333333333,0.6666666666666666,2015,Spring,Blue
Vi,Leblanc,JUNGLER,MID_LANER,5,2,7,0.7142857142857143,0.2857142857142857,2015,Spring,Red
Vi,Annie,AD_CARRY,SUPPORT,4,2,6,0.6666666666666666,0.3333333333333333,2015,Spring,Red
Gnar,RekSai,TOP_LANER,JUNGLER,12,9,21,0.5714285714285714,0.42857142857142855,2015,Spring,Blue
RekSai,Annie,JUNGLER,SUPPORT,6,7,13,0.46153846153846156,0.5384615384615384,2015,Spring,Blue
Maokai,Nunu,TOP_LANER,JUNGLER,3,1,4,0.75,0.25,2015,Spring,Red
Nunu,Kassadin,JUNGLER,MID_LANER,2,1,3,0.6666666666666666,0.3333333333333333,2015,Spring,Red
Nunu,Morgana,AD_CARRY,SUPPORT,1,1,2,0.5,0.5,2015,Spring,Red
Maokai,Nidalee,TOP_LANER,JUNGLER,9,4,13,0.6923076923076923,0.3076923076923077,2015,Spring,Blue
Nidalee,Zed,JUNGLER,MID_LANER,4,0,4,1.0,0.0,2015,Spring,Blue
Nidalee,Veigar,JUNGLER,SUPPORT,1,0,1,1.0,0.0,2015,Spring,Blue
Corki,Veigar,AD_CARRY,SUPPORT,2,0,2,1.0,0.0,2015,Spring,Blue
DrMundo,LeeSin,TOP_LANER,JUNGLER,0,6,6,0.0,1.0,2015,Spring,Red
