CHAMP1,CHAMP2,Year,Season,Team,CHAMP1_POS,CHAMP2_POS,Total_Played,Wins
Singed,Rengar,2017,Spring,blue,Top,Jungle,2,1
Fizz,Gragas,2017,Spring,blue,Top,Jungle,3,2
Gragas,Olaf,2017,Spring,blue,Top,Jungle,1,1
Kled,Rengar,2017,Spring,blue,Top,Jungle,3,2
Renekton,Gragas,2017,Spring,blue,Top,Jungle,3,2
Nautilus,Gragas,2017,Spring,blue,Top,Jungle,1,1
DrMundo,Rengar,2017,Spring,blue,Top,Jungle,1,1
JarvanIV,Graves,2017,Spring,blue,Top,Jungle,1,1
Kennen,Ivern,2017,Spring,blue,Top,Jungle,3,0
Nautilus,Ivern,2017,Spring,blue,Top,Jungle,12,6
Fizz,Khazix,2017,Spring,blue,Top,Jungle,3,2
Kled,Khazix,2017,Spring,blue,Top,Jungle,2,1
Galio,Olaf,2017,Summer,blue,Top,Jungle,5,2
Renekton,Gragas,2017,Summer,blue,Top,Jungle,32,18
Kennen,Khazix,2017,Summer,blue,Top,Jungle,2,0
JarvanIV,Elise,2017,Summer,blue,Top,Jungle,40,24
Kled,Olaf,2017,Summer,blue,Top,Jungle,1,0
Shen,Gragas,2017,Summer,blue,Top,Jungle,32,18
Shen,Elise,2017,Summer,blue,Top,Jungle,31,20
Renekton,Elise,2017,Summer,blue,Top,Jungle,64,25
Gragas,Graves,2017,Summer,blue,Top,Jungle,5,3
Fiora,Elise,2017,Summer,blue,Top,Jungle,7,3
Kennen,Olaf,2017,Summer,blue,Top,Jungle,5,2
Gragas,Olaf,2017,Summer,blue,Top,Jungle,2,0
Shen,Rengar,2017,Summer,blue,Top,Jungle,4,2
Rumble,LeeSin,2017,Summer,blue,Top,Jungle,17,9
Rumble,Rengar,2017,Summer,blue,Top,Jungle,5,2
Shen,LeeSin,2017,Summer,blue,Top,Jungle,13,7
Shen,Nidalee,2017,Summer,blue,Top,Jungle,2,1
Shen,Ivern,2017,Summer,blue,Top,Jungle,3,1
Jayce,LeeSin,2017,Summer,blue,Top,Jungle,6,4
Fiora,LeeSin,2017,Summer,blue,Top,Jungle,8,7
Shen,Khazix,2017,Summer,blue,Top,Jungle,11,7
Kennen,LeeSin,2017,Summer,blue,Top,Jungle,15,7
Gragas,Khazix,2017,Summer,blue,Top,Jungle,17,11
Renekton,Zac,2017,Summer,blue,Top,Jungle,14,10
Galio,LeeSin,2017,Summer,blue,Top,Jungle,5,2
Renekton,LeeSin,2017,Summer,blue,Top,Jungle,20,13
Kennen,Ivern,2017,Summer,blue,Top,Jungle,5,2
Fiora,Gragas,2017,Summer,blue,Top,Jungle,8,3
