,CHAMP1_x,Team_x,CHAMP2_x,Year_x,CHAMP1_y,CHAMP2_y,Partidas_x,bResult
381,Shen,blue,Kindred,2016,Trundle,Elise,1,0
382,Irelia,blue,Nidalee,2016,Ryze,RekSai,1,1
383,Trundle,blue,Gragas,2016,Lissandra,RekSai,2,0
384,Irelia,blue,Olaf,2016,Jax,RekSai,2,2
385,Jax,blue,Nidalee,2016,Irelia,RekSai,1,1
386,Shen,blue,Olaf,2016,Irelia,Nidalee,1,1
387,Vladimir,blue,Nidalee,2016,Swain,RekSai,1,0
388,Swain,blue,RekSai,2016,Jax,Elise,1,1
389,Jax,blue,RekSai,2016,Irelia,Gragas,2,0
390,Rumble,blue,Olaf,2016,Irelia,RekSai,2,1
391,Jax,blue,Kindred,2016,Irelia,RekSai,1,1
392,Irelia,blue,Elise,2016,Jax,Kindred,1,0
393,Shen,blue,Kindred,2016,Fiora,Evelynn,1,0
394,Irelia,blue,Evelynn,2016,Trundle,Elise,1,0
395,Trundle,blue,Elise,2016,Fiora,Gragas,1,0
396,Rumble,blue,RekSai,2016,Shen,Kindred,1,0
397,Shen,blue,Kindred,2016,JarvanIV,RekSai,1,0
398,JarvanIV,blue,Gragas,2016,Maokai,RekSai,1,0
399,Trundle,blue,Kindred,2016,Lissandra,Nidalee,1,1
400,Trundle,blue,Elise,2016,Irelia,Nidalee,2,1
401,Trundle,blue,Kindred,2016,Rumble,Elise,1,0
402,Jax,blue,Elise,2016,Trundle,Nidalee,1,1
403,Lissandra,blue,RekSai,2016,Swain,Kindred,1,1
404,Fiora,blue,Gragas,2016,Lissandra,RekSai,1,0
405,Swain,blue,RekSai,2016,Trundle,Nidalee,1,0
406,Shen,blue,RekSai,2016,Swain,Graves,1,1
407,Hecarim,blue,RekSai,2016,Irelia,Elise,1,0
408,Hecarim,blue,Elise,2016,Trundle,Nidalee,1,1
409,Trundle,blue,Olaf,2016,Rumble,RekSai,1,0
410,Lissandra,blue,Kindred,2016,Trundle,Elise,1,1
411,Poppy,blue,Kindred,2016,Trundle,Elise,2,0
412,Fiora,blue,Elise,2016,Trundle,Olaf,1,1
413,Irelia,blue,RekSai,2016,Shen,Olaf,1,0
414,Jax,blue,Olaf,2016,Irelia,RekSai,1,0
415,Swain,blue,Gragas,2016,Irelia,RekSai,1,1
416,Jax,blue,RekSai,2016,Shen,Olaf,1,1
417,Trundle,blue,Hecarim,2016,Illaoi,RekSai,1,1
418,Trundle,blue,Elise,2016,Ryze,Hecarim,1,1
419,Trundle,blue,Elise,2016,Irelia,RekSai,5,1
