,CHAMP1,CHAMP2,Year,Season,Team,CHAMP1_POS,CHAMP2_POS,Total_Played,Wins
115,Pantheon,Kassadin,2015,Spring,blue,Jungle,Middle,1,1
116,LeeSin,Syndra,2015,Spring,blue,Jungle,Middle,4,1
117,LeeSin,Fizz,2015,Spring,blue,Jungle,Middle,3,1
118,Rengar,Jayce,2015,Spring,blue,Jungle,Middle,2,0
119,Rengar,Orianna,2015,Spring,blue,Jungle,Middle,4,3
120,LeeSin,Lulu,2015,Spring,blue,Jungle,Middle,1,0
121,Rengar,Ezreal,2015,Spring,blue,Jungle,Middle,1,0
122,JarvanIV,Morgana,2015,Spring,blue,Jungle,Middle,1,0
123,LeeSin,Lissandra,2015,Spring,blue,Jungle,Middle,6,4
124,LeeSin,Jayce,2015,Spring,blue,Jungle,Middle,1,0
125,Nidalee,JarvanIV,2015,Spring,blue,Jungle,Middle,1,1
126,Khazix,Leblanc,2015,Spring,blue,Jungle,Middle,1,0
127,Nunu,Ezreal,2015,Spring,blue,Jungle,Middle,1,0
128,Nidalee,Xerath,2015,Spring,blue,Jungle,Middle,1,0
129,RekSai,Karthus,2015,Spring,blue,Jungle,Middle,5,2
130,Vi,Xerath,2015,Spring,blue,Jungle,Middle,2,2
131,Nidalee,Karthus,2015,Spring,blue,Jungle,Middle,1,1
132,Udyr,Diana,2015,Spring,blue,Jungle,Middle,1,1
133,LeeSin,Cassiopeia,2015,Spring,blue,Jungle,Middle,1,0
134,RekSai,Diana,2015,Spring,blue,Jungle,Middle,5,4
135,LeeSin,JarvanIV,2015,Spring,blue,Jungle,Middle,1,0
136,Sejuani,TwistedFate,2015,Spring,blue,Jungle,Middle,2,2
137,RekSai,Urgot,2015,Spring,blue,Jungle,Middle,1,0
138,Sejuani,Anivia,2015,Spring,blue,Jungle,Middle,1,1
139,JarvanIV,Karthus,2015,Spring,blue,Jungle,Middle,2,0
140,Sejuani,Leblanc,2015,Spring,blue,Jungle,Middle,1,0
141,Sejuani,Vladimir,2015,Spring,blue,Jungle,Middle,2,1
142,Nunu,Chogath,2015,Spring,blue,Jungle,Middle,3,2
143,Sejuani,Lissandra,2015,Spring,blue,Jungle,Middle,2,2
144,Gragas,Xerath,2015,Spring,blue,Jungle,Middle,2,0
145,Nautilus,Azir,2015,Spring,blue,Jungle,Middle,1,0
146,JarvanIV,Fizz,2015,Spring,blue,Jungle,Middle,1,1
147,Vi,Riven,2015,Spring,blue,Jungle,Middle,1,0
148,Rengar,Syndra,2015,Spring,blue,Jungle,Middle,1,0
149,Vi,Veigar,2015,Spring,blue,Jungle,Middle,1,0
150,LeeSin,Diana,2015,Spring,blue,Jungle,Middle,1,0
151,JarvanIV,Urgot,2015,Spring,blue,Jungle,Middle,2,0
152,Gragas,Zed,2015,Spring,blue,Jungle,Middle,1,1
153,Olaf,Orianna,2015,Spring,blue,Jungle,Middle,1,0
154,Pantheon,Ahri,2015,Spring,blue,Jungle,Middle,2,0
155,Pantheon,Orianna,2015,Spring,blue,Jungle,Middle,2,0
156,Elise,Lissandra,2015,Spring,blue,Jungle,Middle,1,0
157,Olaf,Ahri,2015,Spring,blue,Jungle,Middle,1,1
158,RekSai,Nidalee,2015,Spring,blue,Jungle,Middle,2,2
