,CHAMP1_x,Team_x,CHAMP2_x,Year_x,CHAMP1_y,CHAMP2_y,Partidas_x,bResult
195,Support/Mage/,blue,Fighter/Mage/,2015,Tank/Mage/,Tank/Fighter/,1,0
196,Tank/Mage/,blue,Fighter/Mage/,2015,Tank/Fighter/,Tank/Fighter/,1,0
197,Tank/Mage/,blue,Tank/Fighter/,2015,Tank/Fighter/,Fighter/Mage/,2,2
198,Mage/Tank/,blue,Tank/Fighter/,2015,Tank/Mage/,Fighter/Assassin/,1,0
199,Tank/,blue,Mage/Fighter/,2015,Fighter/Tank/,Assassin/Fighter/,2,2
200,Fighter/Tank/,blue,Assassin/Fighter/,2015,Tank/,Mage/Fighter/,1,0
201,Tank/,blue,Mage/Fighter/,2015,Fighter/,Fighter/,1,1
202,Tank/,blue,Assassin/Mage/,2015,Fighter/Tank/,Assassin/Fighter/,1,0
203,Fighter/Tank/,blue,Assassin/Fighter/,2015,Tank/Mage/,Mage/Fighter/,2,2
204,Tank/,blue,Assassin/Mage/,2015,Fighter/Tank/,Mage/Fighter/,1,0
205,Fighter/Tank/,blue,Assassin/Fighter/,2015,Tank/,Assassin/Mage/,1,1
206,Fighter/Tank/,blue,Assassin/Fighter/,2015,Tank/Mage/,Fighter/Assassin/,3,2
207,Fighter/Tank/,blue,Mage/Fighter/,2015,Tank/Mage/,Assassin/Fighter/,3,0
208,Tank/Fighter/,blue,Fighter/Mage/,2015,Tank/Mage/,Assassin/Mage/,1,1
209,Fighter/Tank/,blue,Assassin/Fighter/,2015,Tank/Fighter/,Fighter/Mage/,2,2
210,Tank/Mage/,blue,Fighter/Mage/,2015,Mage/Fighter/,Fighter/Assassin/,1,1
211,Tank/,blue,Assassin/Mage/,2015,Fighter/,Fighter/Mage/,1,1
212,Tank/Fighter/,blue,Fighter/Mage/,2015,Tank/Fighter/,Mage/Fighter/,1,1
213,Tank/Mage/,blue,Assassin/Mage/,2015,Tank/Fighter/,Fighter/Mage/,1,0
214,Fighter/Assassin/,blue,Fighter/Mage/,2015,Fighter/Tank/,Assassin/Fighter/,1,1
215,Tank/Fighter/,blue,Assassin/Fighter/,2015,Fighter/Tank/,Fighter/Mage/,1,0
216,Fighter/Mage/,blue,Tank/Mage/,2015,Fighter/Tank/,Fighter/Mage/,1,0
217,Support/Mage/,blue,Tank/Mage/,2015,Fighter/Tank/,Fighter/Mage/,1,0
218,Tank/Mage/,blue,Fighter/Tank/,2015,Fighter/Tank/,Fighter/Mage/,1,1
219,Tank/Mage/,blue,Assassin/Fighter/,2015,Fighter/,Fighter/Mage/,1,1
220,Tank/,blue,Mage/Fighter/,2015,Tank/Fighter/,Fighter/Assassin/,1,1
221,Tank/,blue,Fighter/Mage/,2015,Tank/Mage/,Mage/Fighter/,1,1
222,Fighter/Tank/,blue,Fighter/Tank/,2015,Assassin/Fighter/,Mage/Fighter/,1,0
223,Tank/,blue,Assassin/Mage/,2015,Fighter/Mage/,Fighter/Mage/,1,0
224,Fighter/Mage/,blue,Fighter/Mage/,2015,Tank/,Mage/Fighter/,1,1
225,Support/Mage/,blue,Assassin/Fighter/,2015,Tank/Mage/,Mage/Fighter/,1,0
226,Tank/,blue,Mage/Fighter/,2015,Fighter/Tank/,Fighter/Mage/,1,0
227,Fighter/Tank/,blue,Fighter/Mage/,2015,Fighter/Mage/,Assassin/Fighter/,4,0
228,Tank/Fighter/,blue,Assassin/Fighter/,2015,Support/Mage/,Fighter/,1,1
229,Fighter/Tank/,blue,Mage/Fighter/,2016,Fighter/Assassin/,Fighter/,14,4
